callo_id,tipo,area_pixeles,area_mm2,centroide_x,centroide_y,perimetro,circularidad,opacidad_media,imagen,fuente
1,callo,6310.5,63.10500000000001,77,389,332.9777032136917,0.7152260573175669,,p100.png,Automatico
2,callo,8448.5,84.48500000000001,357,385,414.2325347661972,0.6187298372611535,,p100.png,Automatico
3,callo,927.0,9.270000000000001,43,270,119.74011445045471,0.8124754747898576,,p100.png,Automatico
4,callo,13025.0,130.25000000000003,205,308,695.269112944603,0.33859592189217175,,p100.png,Automatico
5,callo,6646.5,66.46500000000002,357,255,360.1492750644684,0.6439287017033566,,p100.png,Automatico
6,callo,7891.5,78.91500000000002,43,124,395.6051198244095,0.6336444245941738,,p100.png,Automatico
7,callo,7328.0,73.28000000000002,225,115,431.44573855400085,0.4947011923902882,,p100.png,Automatico
8,callo,5184.0,51.84000000000001,348,93,351.84775841236115,0.5262174913449509,,p100.png,Automatico
1,callo,7589.5,75.89500000000001,43,124,393.9482649564743,0.6145322019302463,,p100.png,JSON
2,callo,6918.5,69.18500000000002,226,115,478.6589412689209,0.37946301892970796,,p100.png,JSON
3,callo,4832.5,48.32500000000001,348,92,364.0904002189636,0.45810314167732363,,p100.png,JSON
4,callo,866.5,8.665000000000001,43,270,116.3259003162384,0.8046844076630486,,p100.png,JSON
5,callo,6881.0,68.81000000000002,213,261,358.3919152021408,0.6732014051072398,,p100.png,JSON
6,callo,6403.5,64.03500000000001,357,254,364.4924211502075,0.6056898178296084,,p100.png,JSON
7,callo,6048.0,60.48000000000001,76,389,332.7350617647171,0.686474663541528,,p100.png,JSON
8,callo,5440.5,54.40500000000001,195,366,363.6051195859909,0.5171168623851699,,p100.png,JSON
9,callo,7906.0,79.06000000000002,357,385,448.81832134723663,0.4932027845336521,,p100.png,JSON
1,callo,6700.5,67.00500000000001,95,380,370.0903995037079,0.6147541045499938,,p101.png,Automatico
2,callo,5290.5,52.90500000000001,355,383,318.00713980197906,0.657404755382094,,p101.png,Automatico
3,callo,7009.0,70.09000000000002,244,352,377.50461316108704,0.6180468506109825,,p101.png,Automatico
4,callo,3898.5,38.98500000000001,65,270,249.23758816719055,0.788642763385773,,p101.png,Automatico
5,callo,6768.0,67.68,226,247,353.90663492679596,0.6790360078312355,,p101.png,Automatico
